rank,title,release_year,country,movie_id,image_url
1,조 블랙의 사랑,1998,미국,my5YP7d,https://an2-img.amz.wtchn.net/image/v2/yf--WrkhminT1XPTNmbskA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMjFvYVhaNE5YTmhaSEkxWTJwNWNIRmhlbXR0SW4wLnB0YUgxNkNEV2Z0RVNqSGlRbmdPdm9JRDlqUllWNzhNRnlxV1dfZnI4NVU=
2,애프터 양,2021,미국,mW428nl,https://an2-img.amz.wtchn.net/image/v2/c183Arksx6PXFYOcEAQ3lw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5URTJNak0xTmpFd016WTRORGN5TnpFaWZRLmV3RDRqdUV5dVRrUF90OEdpcnp4ZUItM1hMbWpIUHhFc09mQjNQbF9Wb1E=
3,바그다드 카페 리마스터링,1987,서독,m1WwZ75,https://an2-img.amz.wtchn.net/image/v2/nJv5e9WnVU4_Np6b8Wq5-g.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk1UZzFOakF3Tmpjek9EQTROekk0TkRBaWZRLjJ0OGNCV280VjhVb3FRa0VpLUZwRXJzNl9ZR21ZRkV6ampMVzZ4RWhSMDg=
4,불량 공주 모모코,2004,일본,mr5Z9xd,https://an2-img.amz.wtchn.net/image/v2/HN1N_ZqZJyJ_WmX8jR4iCA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMk40YUROcmNIUjVhRzFrYVdwcmNHSjZZMlZvSW4wLlV2cXNGQUJwdjRkVjdRYWJWYTFpX3labUlJam9FV3JuMVJDUG5pQ2Q4TmM=
5,데드데드 데몬즈 디디디디 디스트럭션: 파트1,2024,일본,mOVPr81,https://an2-img.amz.wtchn.net/image/v2/qEXOm__6801kw62UWI-J8A.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJd05ESXhOVEl6TkRreU5UQXdOalV5SW4wLlV4SzRERnl5VnlwWWp5UTZacE85eU1NWXpHVXA3RFBiYnd2VVdBT2NFS1k=
6,데드데드 데몬즈 디디디디 디스트럭션: 파트2,2024,일본,mOgjw2A,https://an2-img.amz.wtchn.net/image/v2/RYRRTh9ho8UHWSBQ6_krjQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJek5ESXpNVFEyTlRVNE1URTFNVFEySW4wLkN0ZXRWT09oLU44QnlodGlNR3ZIVWc5d1QwX1pWOHo4MkotaVR1QWlhLU0=
7,타짜,2006,한국,m6dRLWy,https://an2-img.amz.wtchn.net/image/v2/PKAMLv766zVR-u00xoTJUQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk16YzFOamd4TmpJeE5URXdOVGs0TXpRaWZRLk1BdzhQUjBId3QzaEU3UEZ4d2ZId19IOW9lRlhma1VrMWo3cUQyVEFvSlU=
8,더 퍼스트 슬램덩크,2022,일본,mOgjx80,https://an2-img.amz.wtchn.net/image/v2/3plF7WNML-whuTwg63hvhw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJMU9ETTJPVFEyTlRBeE5UQTJOeUo5LnRzUjJjdkxqRUR2UVlxekxXTkdiZmVxOHhHUW5UbzdfbHBabVUwY3lHeFk=
9,그녀,2013,미국,mWyzmNO,https://an2-img.amz.wtchn.net/image/v2/jpGyE1obJhgs9Z7QQP4YBA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMmxvZG5Kd2NqQnJkbVI2WVRkc2VXbG5aM04wSW4wLnRQMWRVZmgxamkxRmxIeUg3dDd4RnFKWS13V0Q3NnA5N0FSc3lFdVBiRlE=
10,시맨틱 에러: 더 무비,2022,한국,m5ZlbBL,https://an2-img.amz.wtchn.net/image/v2/tkmsakQ3xtdo7JXj6Gogqw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5UZzRPREF6TXpjeU5qY3dNREkxTXpraWZRLjU3cGhtemxyblpFdW5jU1BfZy1ycUhNU1VjV19WTDlLSjJITmh3anJPVWM=
