ranking,title,release_year,country,reservation,audience
1,야당,2024,한국,,
2,거룩한 밤: 데몬 헌터스,2024,한국,,
3,승부,2025,한국,13%,169.1만명
4,극장판 진격의 거인 완결편 더 라스트 어택,2024,일본,6.6%,69.6만명
5,열혈검사,2024,중국,,
6,A MINECRAFT MOVIE 마인크래프트 무비,2025,미국,,
7,아마추어,2025,미국,2.6%,5.7만명
8,사유리,2024,일본,,
9,베러맨,2024,중국,2%,2.0만명
10,드라이브 인 타이페이,2024,미국,1.9%,"9,496명"
